Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
Royce O'Neale,UTH,"SF,SG",532,313,127,26,60,0.47,0.8,65,81,1539,75
Mason Plumlee,DEN,"PF,C",528,322,170,44,58,0.53,0.65,26,77,1313,90
Evan Turner,ATL,"SG,SF",526,236,202,23,44,0.45,0.81,29,77,1640,101
Willy Hernangomez,CHA,C,525,377,69,29,27,0.52,0.71,27,69,951,65
Josh Okogie,MIN,SG,519,202,129,29,76,0.4,0.76,58,72,1390,97
Lonnie Walker IV,SAS,SG,518,159,132,17,71,0.43,0.81,51,68,1337,75
Troy Brown Jr.,WAS,"SG,SF",518,266,136,19,57,0.44,0.72,59,76,1341,81
Rajon Rondo,LAL,PG,517,284,454,9,69,0.44,0.61,55,73,1686,150
Anthony Tolliver,POR,"SF,PF",516,224,68,20,27,0.44,0.78,116,78,1454,46
Jalen Brunson,DAL,PG,509,145,205,5,33,0.46,0.77,55,73,1073,73
DeAndre' Bembry,ATL,SF,505,261,147,29,76,0.46,0.65,33,76,1292,102
Denzel Valentine,CHI,"SG,SF ",502,243,146,6,41,0.43,0.77,90,65,1392,63
Mohamed Bamba,ORL,C,500,384,62,100,24,0.5,0.63,22,71,1212,67
Cory Joseph,SAC,"PG,SG",495,213,224,16,67,0.42,0.75,52,80,1619,71
Mike Muscala,OKC,"PF,C",492,253,71,34,27,0.45,0.84,86,70,1286,49
Tyus Jones,MEM,PG,489,144,310,8,93,0.44,0.88,47,77,1555,57
Marquese Chriss,GSW,"PF,C",488,318,69,66,43,0.44,0.62,52,79,1269,89
J.J. Barea,DAL,"PG,SG",482,120,250,0,20,0.44,0.77,65,51,1018,81
Goga Bitadze,IND,C,477,323,67,74,33,0.5,0.67,16,77,996,74
Boban Marjanovic,DAL,C,476,311,64,31,17,0.62,0.78,4,71,568,70
Nerlens Noel,OKC,"PF,C",468,403,57,85,73,0.58,0.72,0,74,1245,61
Ante Zizic,CLE,C ,462,321,45,42,16,0.56,0.73,0,72,927,61
Bismack Biyombo,CHA,"PF,C",460,418,57,88,20,0.52,0.64,0,82,1540,74
Nemanja Bjelica,SAC,"PF,SF",459,270,89,26,38,0.47,0.78,69,72,1256,54
Jahlil Okafor,NOR,C,457,227,37,42,15,0.56,0.7,0,58,799,59
Daniel Theis,BOS,"PF,C",454,289,82,51,28,0.57,0.72,27,71,994,46
Jordan Bell,MIN,"PF,C",450,368,165,97,46,0.56,0.7,0,70,1856,80
Wilson Chandler,BKN,"SF,PF",445,232,85,19,23,0.44,0.76,56,65,1359,54
Greg Monroe,PHI,"PF,C",443,271,91,25,37,0.54,0.73,0,52,817,70
Luke Kornet,CHI,"PF,C",443,258,54,60,29,0.5,0.77,39,75,1069,48
Aron Baynes,PHO,C,433,353,74,52,15,0.48,0.81,30,76,1136,61
Khem Birch,ORL,"PF,C",429,280,61,71,62,0.5,0.74,40,74,1209,75
Pat Connaughton,MIL,"SG,SF",426,209,99,21,28,0.47,0.77,75,71,1257,32
Ed Davis,UTH,"PF,C",423,622,57,47,36,0.63,0.61,0,77,1386,57
Noah Vonleh,MIN,"PF,C",419,396,92,36,34,0.47,0.7,34,76,1216,59
James Ennis III,PHI,"SG,SF",417,196,54,18,38,0.48,0.76,45,71,1173,39
Thon Maker,DET,"PF,C",417,248,45,61,38,0.42,0.7,48,79,1260,42
T.J. McConnell,IND,PG,389,156,254,10,72,0.49,0.79,16,77,1271,79
Matisse Thybulle,PHI,"SF,SG",366,139,71,48,74,0.42,0.8,41,66,921,50
Richaun Holmes,SAC,"PF,C",363,192,77,36,30,0.53,0.73,22,63,901,33
Andre Roberson,OKC,"SG,SF",361,316,75,56,69,0.5,0.37,21,67,1822,49
Jaxson Hayes,NOR,C,354,226,34,80,28,0.62,0.71,8,76,912,50
Tyler Ulis,SAC,PG,334,185,162,40,42,0.49,0.76,13,50,1093,62
Kenneth Faried,HOU,"PF,C",328,227,28,23,23,0.52,0.69,0,48,777,39
John Henson,CLE,"PF,C",319,278,41,44,20,0.51,0.59,0,52,1038,44
Tyson Chandler,HOU,C,311,385,40,33,18,0.65,0.64,0,64,1197,55
Andre Iguodala,MEM,"SG,SF",309,186,162,32,49,0.5,0.65,35,54,1388,43
Bruno Fernando,ATL,"C,PF",306,231,50,33,19,0.54,0.72,11,74,592,52
Kyle O'Quinn,PHI,"PF,C",286,227,81,51,17,0.52,0.77,2,54,732,48
Amir Johnson,PHI,"PF,C",274,211,76,34,26,0.56,0.66,11,53,741,43
Jonah Bolden,PHI,"PF,C",261,214,51,48,20,0.5,0.54,44,70,837,47
Damian Jones,ATL,C,258,150,53,44,22,0.69,0.65,0,61,488,34
Kosta Koufos,SAC,"PF,C",253,250,41,21,24,0.55,0.51,0,50,774,31
DeMarcus Cousins,LAL,"PF,C ",224,125,39,19,19,0.48,0.75,21,24,626,49
Tyler Zeller,DEN,"PF,C",196,135,26,16,12,0.52,0.76,4,42,515,21
Timofey Mozgov,ORL,C,178,110,16,20,9,0.55,0.77,4,42,495,36
Ian Mahinmi,WAS,C ,142,123,22,23,22,0.58,0.69,0,48,431,36
Joakim Noah,MEM,"PF,C",141,133,41,25,18,0.47,0.64,0,42,484,27
